First,1.30,1.40,1.20
First,1.27,1.40,1.23
First,1.27,1.42,1.26
First,1.27,1.40,1.25
First,1.31,1.41,1.20
First,1.30,1.41,1.26
First,1.33,1.41,1.24
First,1.29,1.42,1.24
First,1.34,1.45,1.23
First,1.30,1.44,1.21
First,1.27,1.40,1.23
First,1.33,1.41,1.25
First,1.32,1.41,1.23
First,1.28,1.40,1.28
First,1.26,1.37,1.26
First,1.31,1.41,1.27
First,1.29,1.42,1.27
First,1.34,1.43,1.26
First,1.29,1.42,1.28
First,1.32,1.40,1.25
First,1.30,1.42,1.26
First,1.30,1.45,1.26
First,1.33,1.42,1.26
First,1.32,1.42,1.27
First,1.33,1.44,1.29
First,1.32,1.43,1.27
First,1.26,1.46,1.26
First,1.30,1.44,1.26
First,1.33,1.41,1.26
First,1.30,1.41,1.27
First,1.31,1.42,1.26
First,1.29,1.40,1.27
First,1.31,1.45,1.28
First,1.32,1.42,1.30
First,1.30,1.41,1.26
First,1.27,1.41,1.28
First,1.32,1.44,1.30
First,1.33,1.42,1.29
First,1.29,1.41,1.33
First,1.32,1.43,1.30
First,1.32,1.42,1.30
First,1.26,1.41,1.31
First,1.29,1.43,1.31
First,1.31,1.41,1.28
First,1.28,1.41,1.31
First,1.28,1.42,1.26
First,1.28,1.41,1.26
First,1.27,1.41,1.29
First,1.26,1.41,1.32
First,1.32,1.44,1.27
First,1.28,1.42,1.30
First,1.31,1.42,1.28
First,1.32,1.38,1.30
First,1.31,1.41,1.27
First,1.32,1.41,1.29
First,1.29,1.44,1.29
First,1.30,1.41,1.31
First,1.28,1.40,1.27
First,1.29,1.41,1.28
First,1.27,1.42,1.29
First,1.26,1.40,1.26
First,1.29,1.42,1.20
First,1.31,1.44,1.28
First,1.31,1.42,1.31
First,1.32,1.45,1.30
First,1.27,1.42,1.27
First,1.31,1.41,1.29
First,1.27,1.44,1.29
First,1.28,1.45,1.28
First,1.29,1.44,1.30
First,1.27,1.42,1.29
First,1.31,1.41,1.29
First,1.28,1.44,1.28
First,1.28,1.41,1.26
First,1.28,1.42,1.29
First,1.30,1.40,1.30
First,1.31,1.44,1.29
